,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
884,PRT,2805.0,2.3777676175033004e-09,1.9518545867382895e-09
885,PRT,2903.0,1.4167726554821776e-08,1.2749678737942242e-08
886,PRT,2905.0,2.6229195228045027e-09,2.1530941306228245e-09
887,PRT,2907.0,7.238169371453803e-10,5.238201877917003e-10
889,PRT,2913.0,7.553971993723094e-10,6.797894901677403e-10
890,PRT,2918.0,4.475662624494248e-10,3.4739264787862785e-10
891,PRT,2919.0,4.711492621479933e-10,3.6569733569260785e-10
893,ROU,960.0,2.39914892520897e-09,2.2473428759296798e-09
894,ROU,976.0,1.0191234121373866e-08,9.01370484393305e-09
895,ROU,1016.0,1.2675793027909626e-07,1.121118950419708e-07
896,ROU,1049.0,1.9437710457882963e-09,1.7191812377436444e-09
897,ROU,1052.0,6.64562887582825e-09,5.877770687595508e-09
898,ROU,1053.0,3.949765605003893e-09,3.493396476051549e-09
899,ROU,2511.0,4.1217148014671094e-10,3.3834206005875626e-10
900,ROU,2514.0,1.773431459790228e-10,1.4557689757303342e-10
901,ROU,2555.0,5.787609774530735e-10,5.208327885233486e-10
902,ROU,2731.0,8.152319168653478e-09,7.210372944496153e-09
903,ROU,2735.0,2.394580338900175e-08,2.1179025172882246e-08
904,ROU,2805.0,2.598151742853137e-09,2.132762831405217e-09
905,ROU,2903.0,1.18685944538618e-08,1.0680666779679004e-08
906,ROU,2905.0,4.28040539850713e-10,3.513686051014562e-10
907,ROU,2907.0,4.389497150427183e-10,3.1766419154489594e-10
909,ROU,2913.0,1.9297942082947194e-10,1.7366410969955922e-10
910,ROU,2918.0,6.302144255045652e-10,4.891607709865721e-10
911,ROU,2919.0,9.24651155523878e-10,7.176971104200921e-10
913,RUS,960.0,2.2628756664374434e-09,2.1196923019857398e-09
914,RUS,976.0,5.9434634041554416e-08,5.256735763082704e-08
915,RUS,1016.0,3.3106206772189584e-08,2.9281004909983e-08
916,RUS,1049.0,2.749083670570149e-09,2.4314453482945724e-09
917,RUS,1052.0,6.338482062107429e-09,5.606112644059093e-09
918,RUS,1053.0,5.448793861215253e-09,4.819221993676234e-09
919,RUS,2511.0,4.060286138399144e-10,3.3329952281147447e-10
920,RUS,2514.0,4.600763052282005e-10,3.77666025897092e-10
921,RUS,2555.0,1.0641612776543237e-09,9.576493704159763e-10
922,RUS,2731.0,9.159656516786197e-09,8.101319166141241e-09
923,RUS,2735.0,2.0619715683142227e-08,1.8237244765465744e-08
924,RUS,2805.0,2.0069022761947653e-09,1.6474197831995786e-09
925,RUS,2903.0,1.069558997373735e-09,9.625068323435238e-10
926,RUS,2905.0,1.6180048332485215e-10,1.328182843391955e-10
927,RUS,2907.0,3.2739857382392896e-10,2.3693557531210346e-10
929,RUS,2913.0,9.888140816414634e-11,8.898436756030858e-11
930,RUS,2918.0,2.613280499131206e-10,2.0283799481989717e-10
931,RUS,2919.0,2.867235901695101e-10,2.2254954306237076e-10
933,SVK,960.0,1.2909246877634125e-09,1.2092414813949727e-09
934,SVK,976.0,2.6376044556564678e-08,2.332846814741323e-08
935,SVK,1016.0,1.6245222000234048e-08,1.4368194714237169e-08
936,SVK,1049.0,9.614007317398455e-10,8.503172755564177e-10
937,SVK,1052.0,3.950384773564246e-09,3.4939441038054784e-09
938,SVK,1053.0,2.802023653037945e-09,2.478268468117412e-09
939,SVK,2511.0,4.3314056387636427e-10,3.555550971764872e-10
940,SVK,2514.0,3.924538752377979e-10,3.2215633303579084e-10
941,SVK,2555.0,6.583166172857366e-10,5.924257039945109e-10
942,SVK,2731.0,1.5528942297372778e-08,1.3734676364015891e-08
943,SVK,2735.0,1.2676933027877296e-09,1.121219778475548e-09
944,SVK,2903.0,2.7361215803734153e-08,2.4622631586462527e-08
945,SVK,2905.0,3.4956351390853464e-10,2.8694862481774037e-10
946,SVK,2907.0,1.5858863721671277e-09,1.1476925375097034e-09
948,SVK,2913.0,2.670920377667801e-10,2.403587944623216e-10
949,SVK,2918.0,6.660000605313713e-09,5.169369184556525e-09
950,SVK,2919.0,5.389774303201622e-09,4.183443042400847e-09
952,SVN,960.0,1.9744885112265687e-09,1.8495528321250535e-09
953,SVN,976.0,3.016438404969722e-08,2.667909022448788e-08
954,SVN,1016.0,2.008252200119374e-08,1.77621202383043e-08
955,SVN,1049.0,9.352653579975693e-10,8.272016703124282e-10
956,SVN,1052.0,2.3996455777787192e-09,2.1223825015248204e-09
957,SVN,1053.0,6.550467633332945e-10,5.793604693347992e-10
958,SVN,2511.0,1.2489196843271843e-09,1.0252093587183222e-09
959,SVN,2514.0,5.19886015577392e-10,4.2676243742915626e-10
960,SVN,2555.0,3.970820672423409e-10,3.5733812128205016e-10
961,SVN,2731.0,1.3210295704608098e-08,1.1683933953855812e-08
962,SVN,2735.0,9.42825317211979e-08,8.338881265530855e-08
963,SVN,2903.0,1.857429709160707e-08,1.6715195609170492e-08
964,SVN,2905.0,7.005181129147082e-10,5.750391593025074e-10
965,SVN,2907.0,8.819704332619113e-10,6.382745336134475e-10
966,SVN,2913.0,3.0653174662704267e-09,2.7585098267901096e-09
967,SVN,2918.0,2.702869921338026e-09,2.0979175992989816e-09
968,SVN,2919.0,7.256946115750463e-10,5.632707239518419e-10
970,SWE,960.0,1.2657925093194163e-09,1.1856995405053347e-09
971,SWE,976.0,5.473357700943944e-08,4.8409476452029435e-08
972,SWE,1049.0,9.375421026870423e-10,8.29215352305354e-10
973,SWE,1052.0,2.5355431985465484e-09,2.242578056646542e-09
974,SWE,1053.0,1.8017646122513342e-09,1.5935827025125431e-09
975,SWE,2511.0,2.4445919119597724e-10,2.0067091085512198e-10
976,SWE,2731.0,1.2617919159112388e-08,1.116000257577388e-08
977,SWE,2735.0,5.94846015335176e-09,5.261155171164039e-09
978,SWE,2903.0,1.099686619720016e-09,9.896189808288008e-10
979,SWE,2905.0,9.894925263062807e-11,8.122515891784748e-11
980,SWE,2907.0,7.448703549415615e-10,5.390563679606064e-10
982,SWE,2913.0,3.1197819401652177e-10,2.8075229512390207e-10
983,SWE,2918.0,1.1742589676415638e-08,9.11438073620044e-09
984,SWE,2919.0,4.3640245140009584e-08,3.387275043988255e-08
986,UKR,960.0,1.9667577248265812e-09,1.8423112109156356e-09
987,UKR,976.0,6.482893842664384e-08,5.7338386044702314e-08
988,UKR,1016.0,1.948557666957601e-08,1.7234147966930303e-08
989,UKR,1049.0,4.252112557465561e-09,3.760809250352992e-09
990,UKR,1052.0,9.32017033529251e-09,8.243286681179891e-09
991,UKR,1053.0,8.248273558169827e-09,7.295240442905025e-09
992,UKR,2511.0,4.374388075055301e-10,3.590834262195563e-10
993,UKR,2514.0,4.847293548067049e-10,3.979031455982243e-10
994,UKR,2555.0,1.087315445234167e-09,9.78486037254878e-10
995,UKR,2731.0,5.966948136997877e-09,5.277506991342132e-09
996,UKR,2735.0,1.2070607803844835e-08,1.0675929405109673e-08
997,UKR,2805.0,2.478843314271362e-09,2.0348252945956294e-09
998,UKR,2903.0,7.263260077422693e-10,6.536280342433936e-10
999,UKR,2905.0,3.796015076428482e-10,3.1160612095619753e-10
1000,UKR,2907.0,2.0083828520464974e-10,1.4534496621005758e-10
1002,UKR,2913.0,1.859670129423884e-10,1.6735357375056465e-10
1003,UKR,2918.0,1.1557720163464684e-10,8.970888442423445e-11
1004,UKR,2919.0,1.637049462380979e-10,1.2706474887817883e-10
1006,USA,960.0,1.9631587109069017e-09,1.7534326916975206e-09
1007,USA,976.0,1.0940238068766242e-07,9.607274471629969e-08
1008,USA,1016.0,5.760765450349168e-07,5.058871159869458e-07
1009,USA,1049.0,2.0615184624629777e-09,1.8103421125503859e-09
1010,USA,1052.0,4.016677289914891e-09,3.52728349653976e-09
1011,USA,1053.0,1.1072998961909092e-09,9.723859716987972e-10
1012,USA,2511.0,6.836262900209795e-10,5.583365688442679e-10
1013,USA,2514.0,5.435429752798452e-10,4.439266369171381e-10
1014,USA,2555.0,5.607639141096133e-10,5.024009523355922e-10
1015,USA,2731.0,1.2225290891818402e-08,1.073575587249196e-08
1016,USA,2735.0,5.399052316672353e-08,4.741229319410091e-08
1017,USA,2805.0,1.8003198792143638e-09,1.4703712230725167e-09
1018,USA,2903.0,9.14784124941039e-09,8.195755896340058e-09
1019,USA,2905.0,3.6296291450368917e-10,2.9644188829467913e-10
1020,USA,2907.0,5.571853458776926e-10,3.920308980435487e-10
1022,USA,2913.0,2.2654247061721239e-10,2.02964474208834e-10
1023,USA,2918.0,1.0002156699693524e-09,7.740647093641066e-10
1024,USA,2919.0,4.903285715481752e-10,3.794642041950668e-10
1026,ARG,960.0,2.4251190739519433e-09,2.146383897900088e-09
1027,ARG,976.0,8.955624517746333e-08,7.970551360503096e-08
1028,ARG,1016.0,4.537441124828077e-07,4.0383456741665866e-07
1029,ARG,1049.0,1.0140009013162162e-08,9.024659584065714e-09
1030,ARG,1052.0,1.5892901324412845e-08,1.4144762994766315e-08
1031,ARG,1053.0,4.750064802157046e-09,4.227581828189272e-09
1032,ARG,2511.0,4.4885469761033296e-10,3.9216483648695827e-10
1033,ARG,2514.0,2.4183803828951733e-10,2.112941565434383e-10
1034,ARG,2555.0,6.845651367726522e-10,6.146266870524379e-10
1035,ARG,2731.0,2.727878918140633e-08,2.4278261085185655e-08
1036,ARG,2735.0,4.718508091596974e-08,4.199496195323673e-08
1037,ARG,2805.0,1.0022545473418153e-09,8.756708858549889e-10
1038,ARG,2903.0,9.832970701242267e-10,8.828387367899713e-10
1039,ARG,2905.0,7.506215524288163e-11,6.558188650782141e-11
1040,ARG,2907.0,3.361621654908225e-10,2.6458410676657263e-10
1042,ARG,2913.0,9.388252239539527e-11,8.429103472029642e-11
