,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW
168,IND,2919.0,1.1282393463210521e-10,7.83939770891133e-11
169,IRN,2511.0,9.218658115126797e-11,8.258615721905551e-11
170,IRN,2514.0,1.0372231054270413e-10,9.292054156501978e-11
171,IRN,2555.0,1.7770249825828867e-10,1.5171467512696282e-10
172,IRN,2805.0,7.050295562083926e-10,6.316069111790289e-10
173,IRN,2903.0,1.0818784209343924e-10,9.236608081916875e-11
174,IRN,2905.0,3.510712958100335e-11,3.1451029931666124e-11
175,IRN,2907.0,1.4393425868844728e-10,1.0997485396615577e-10
177,IRN,2913.0,1.5928569906713411e-10,1.359912118467599e-10
178,IRN,2918.0,2.6992709361342656e-10,1.8755469272953733e-10
179,IRN,2919.0,1.829142219701758e-10,1.2709513609111916e-10
180,KAZ,2511.0,4.200750076935853e-11,3.548109959632753e-11
181,KAZ,2514.0,7.866229741766508e-11,6.6441105946202e-11
182,KAZ,2555.0,1.467282919088704e-10,1.242109471528823e-10
183,KAZ,2805.0,8.673298031818333e-10,7.325790529296396e-10
184,KAZ,2903.0,3.309809316764553e-10,2.8018764805501395e-10
185,KAZ,2905.0,7.99417971979085e-12,6.752181911182339e-12
186,KAZ,2907.0,3.505403456358058e-11,2.880060933811593e-11
188,KAZ,2913.0,8.447617096231662e-12,7.151221533741453e-12
189,KAZ,2918.0,8.15155424291792e-11,5.826070347522317e-11
190,KAZ,2919.0,4.254070443985382e-10,3.04046479130126e-10
191,KGZ,2511.0,7.00891532858315e-11,5.919990913077186e-11
192,KGZ,2514.0,9.183855338483468e-11,7.757026244719679e-11
193,KGZ,2805.0,1.972982746783097e-09,1.6664547059059877e-09
194,KGZ,2903.0,1.3066983728926253e-10,1.1061686906362124e-10
195,KGZ,2905.0,3.855300589968912e-11,3.2563304576844995e-11
196,KGZ,2907.0,5.060632112980573e-11,4.157846316535101e-11
198,KGZ,2913.0,2.3827521223923447e-10,2.0170881436874494e-10
199,KGZ,2918.0,3.06439834435536e-10,2.1901835889218678e-10
200,KGZ,2919.0,6.252613573097459e-10,4.46886145232825e-10
201,LKA,2514.0,3.8131564071065237e-10,3.4160496094481403e-10
202,LKA,2555.0,1.4016276686990596e-10,1.1966488287438664e-10
203,LKA,2805.0,4.086537781532847e-10,3.660960711337109e-10
204,LKA,2903.0,7.85940824540825e-10,6.710021414044292e-10
205,LKA,2905.0,3.5296887100886377e-09,3.1621025870064613e-09
206,LKA,2907.0,1.2384150588860275e-10,9.462272324289293e-11
208,LKA,2913.0,1.1800514368064864e-11,1.0074766653419916e-11
209,LKA,2918.0,1.1768420531732674e-09,8.177106148159221e-10
210,LKA,2919.0,2.91770403992639e-10,2.0273218125625897e-10
211,MDV,2514.0,6.368181243409571e-10,5.704991017127328e-10
212,MDV,2903.0,3.3470320326740315e-11,2.8575505828770382e-11
