,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high,ProteinI-BaU_high,ProteinI-HalfW_high,IronI-BaU_high,IronI-HalfW_high,ZincI-BaU_high,ZincI-HalfW_high,Vitamin AI-BaU_high,Vitamin AI-HalfW_high,Vitamin BI-BaU_high,Vitamin BI-HalfW_high,FolateI-BaU_high,FolateI-HalfW_high
337,SGP,1052.0,1.1974893298519602e-09,1.0699054725769509e-09,1.3633835067503621e-08,1.2181248205975228e-08,9.78519852393316e-08,8.742656147343084e-08,1.3274494514158767e-07,1.1860192798667327e-07,1.0702560885551894e-09,9.5622801611565e-10,1.9240559204630828e-07,1.71906162963642e-07,3.6434249823155383e-09,3.2552443101809366e-09
338,SGP,1053.0,7.803262621960745e-11,6.971881231061227e-11,6.505035780261029e-10,5.811971102465318e-10,1.2108818488915685e-08,1.0818711152385346e-08,7.84799008383461e-09,7.011843304242491e-09,1.2470032487827146e-08,1.1141440403137463e-08,2.014444910947846e-08,1.7998203246573685e-08,6.673957715050228e-09,5.962895622595777e-09
339,SGP,2731.0,4.372834664532009e-09,3.906940647926587e-09,7.435963221887215e-08,6.643714934780758e-08,5.325008242012226e-07,4.757666993450851e-07,3.537066709540009e-07,3.1602177447998167e-07,inf,inf,4.7588933259511393e-07,4.25186754146235e-07,1.880489622138562e-07,1.6801370063973242e-07
340,SGP,2735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,SGP,2907.0,2.2570241141672028e-06,1.7245088112824178e-06,8.238138016710291e-05,6.294457161180826e-05,6.024711349521507e-05,4.603259549806186e-05,0.0007723254563294089,0.0005901053720505852,0.0001337485936830612,0.00010219236332270046,inf,inf,1.0297672520887864e-05,7.868071451476033e-06
342,SGP,2913.0,8.045127716386882e-08,6.868580632290736e-08,8.552478308862422e-06,7.301734533149349e-06,1.1720062277206168e-05,1.0006080152399707e-05,2.5890683180661427e-05,2.210434082845514e-05,inf,inf,inf,inf,1.095375081384983e-06,9.351836707042002e-07
343,SGP,2918.0,1.6391474899474775e-08,1.1389364428002701e-08,2.8222469593509386e-07,1.9609949271191166e-07,6.000684269022508e-07,4.169483245188038e-07,1.3009685156622774e-06,9.03957979687978e-07,8.88248385842688e-09,6.171857402088747e-09,inf,inf,7.17184192378584e-09,4.983244143127244e-09
344,SGP,2919.0,7.1922059646148955e-06,4.997393783940608e-06,0.0005614104457966595,0.0003900874204474727,0.0011761448188894394,0.0008172261522889736,0.01129098984071646,0.007845370769711304,0.00028227475022413304,0.00019613427216541097,inf,inf,8.750517256948123e-05,6.08016243712774e-05
345,SGP,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,THA,946.0,1.1081530772639631e-07,9.900873538174036e-08,5.38043932972496e-07,4.807192298283487e-07,6.814108923873681e-06,6.0881147302491396e-06,5.684308685526991e-06,5.078686564341972e-06,inf,inf,6.608864870787892e-06,5.904737951737464e-06,1.3713394331141547e-06,1.225233100349037e-06
347,THA,960.0,4.95002330024202e-09,4.398968415250698e-09,9.585759116605428e-08,8.518636990675786e-08,1.006504760213012e-05,8.944569310936453e-06,8.160849119550463e-07,7.252353239786515e-07,6.564161332929635e-09,5.833414637615055e-09,6.710031762527654e-07,5.963046231973279e-07,6.039028426295264e-08,5.36674146660585e-08
348,THA,976.0,2.073844829897682e-06,1.8528916103638669e-06,2.8414392270172924e-05,2.5387043568533942e-05,0.00018191980343349514,0.00016253755955193496,0.00013883978895873247,0.00012404741012326246,3.3310492412868596e-07,2.976149952932525e-07,2.4760329857591325e-05,2.2122295169613258e-05,8.188519097825912e-06,7.3160914061321055e-06
349,THA,1016.0,5.619566088188417e-07,5.020841824122075e-07,4.357195054174634e-06,3.892967325331391e-06,2.3862985905319877e-05,2.1320556747912467e-05,2.1506574150935915e-05,1.9215203682284958e-05,inf,inf,5.687378635767744e-05,5.0814294335110245e-05,1.677024780980497e-05,1.4983498776060176e-05
350,THA,1049.0,1.8125325902438598e-09,1.6194203064554412e-09,3.666067313530202e-08,3.275474264197698e-08,1.29649389984502e-07,1.1583618192057743e-07,2.2582372725917878e-07,2.017638367284569e-07,1.8366996914471115e-07,1.6410125772081805e-07,9.500171091194044e-07,8.487996333247007e-07,1.8366996914471115e-07,1.6410125772081805e-07
351,THA,1052.0,5.004916563000691e-09,4.4716787757995735e-09,5.698272648074805e-08,5.091162767324602e-08,4.089731820051994e-07,3.6540003710819375e-07,5.548085966460212e-07,4.956977394176024e-07,4.473144178181868e-09,3.996562905870869e-09,8.041607640592257e-07,7.184832305812629e-07,1.5227724861895722e-08,1.3605320530624234e-08
352,THA,1053.0,2.194804268326089e-09,1.960963692434432e-09,1.836451831639784e-08,1.640791125076891e-08,3.342379015852568e-07,2.986272621676815e-07,2.22184721798893e-07,1.9851254107208685e-07,2.9725187737042484e-07,2.6558183225875337e-07,5.682306562166663e-07,5.076897752795523e-07,1.7561395782843012e-07,1.5690355634714782e-07
