,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low,ProteinI-BaU_low,ProteinI-HalfW_low,IronI-BaU_low,IronI-HalfW_low,ZincI-BaU_low,ZincI-HalfW_low,Vitamin AI-BaU_low,Vitamin AI-HalfW_low,Vitamin BI-BaU_low,Vitamin BI-HalfW_low,FolateI-BaU_low,FolateI-HalfW_low
675,HUN,2735.0,3.191737066196247e-09,2.8229530900282594e-09,2.022822778438655e-08,1.7890990687958642e-08,1.2188461295922808e-07,1.0780165710523335e-07,2.4346858099736973e-07,2.1533740680914252e-07,6.94067281526053e-09,6.1387242634196805e-09,9.852101815573014e-08,8.713757019054781e-08,2.0515729013553255e-08,1.8145273063489754e-08
676,HUN,2805.0,9.208457395174573e-10,7.55901025451267e-10,4.675261603855643e-08,3.83781440142116e-08,4.166826909225935e-07,3.4204520891982754e-07,2.873673856010697e-07,2.3589325783374624e-07,inf,inf,inf,inf,3.7038461967257715e-08,3.0404019023706515e-08
677,HUN,2903.0,6.470592281978929e-10,5.822950670329176e-10,1.051934155092793e-08,9.466460606085953e-09,2.6278857919824792e-08,2.364860690819636e-08,6.33304524152203e-08,5.69917071379244e-08,3.1710855445979975e-08,2.8536915776651003e-08,inf,inf,1.0069474109440306e-09,9.061620398912759e-10
678,HUN,2905.0,2.043783913116112e-11,1.6776950681607448e-11,5.719553195544248e-10,4.695049279264223e-10,2.0896015018340108e-09,1.715305669816689e-09,2.4833602467942757e-09,2.038533140306849e-09,8.703898937901089e-09,7.14482985611826e-09,inf,inf,2.4853412872312954e-10,2.0401593307028518e-10
679,HUN,2907.0,6.506651967598015e-11,4.708808927578135e-11,2.4439620154086168e-09,1.7686746139376305e-09,6.1853358028438056e-09,4.4762751402011025e-09,1.6700406053220398e-08,1.2085942433865014e-08,inf,inf,inf,inf,3.3400813433669817e-10,2.4171885828234427e-10
680,HUN,2908.0,2.4426452135883202e-11,2.198160842779984e-11,7.735043349254706e-08,6.960842824390244e-08,1.3073312805857009e-08,1.176480486621023e-08,3.0940173397018825e-07,2.7843371297560975e-07,inf,inf,inf,inf,9.282051811635617e-09,8.35301120256394e-09
681,HUN,2913.0,9.799170831921185e-12,8.818371777699867e-12,4.002894901153052e-10,3.6022451318471603e-10,1.5746096827670346e-09,1.4170069922827777e-09,1.6609362657234158e-09,1.4946931471488593e-09,2.792044500619888e-09,2.5125887535447108e-09,inf,inf,3.680327900407349e-11,3.3119638637089334e-11
682,HUN,2918.0,5.558155261282192e-11,4.314137225112081e-11,1.3696869287864812e-09,1.0631256394345607e-09,4.515359154835454e-09,3.5047381908026283e-09,7.62213957486928e-09,5.9161636422797355e-09,2.077595555310322e-11,1.6125912110314124e-11,inf,inf,7.564787393689371e-11,5.871647940911485e-11
683,HUN,2919.0,5.56770411306526e-11,4.3215488671044113e-11,5.424263031470068e-09,4.210212554851522e-09,1.3641706606622408e-08,1.0588440142298349e-08,4.3507340901882615e-08,3.3769592630479e-08,3.4788582198321356e-10,2.700225352035732e-10,inf,inf,1.0184228503808182e-09,7.904809641318099e-10
684,HUN,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,IRL,960.0,1.246658548025391e-09,1.1677762798229255e-09,2.4141640992769065e-08,2.2614079654778334e-08,2.5348724376437755e-06,2.374478488713678e-06,2.0553019040406636e-07,1.9252527608423354e-07,1.6531776397728009e-09,1.548572892808662e-09,1.6899149654240994e-07,1.5829856656947647e-07,1.520923428590977e-08,1.4246870613839691e-08
686,IRL,976.0,9.184264998217983e-09,8.12308430131936e-09,1.309590515349736e-07,1.1582760469627386e-07,9.385095526139223e-07,8.30071019831811e-07,6.460394826066895e-07,5.71393919950384e-07,2.0846923296060916e-09,1.8438200050836777e-09,1.4840616485759007e-07,1.3125882018948803e-07,4.616907228603473e-08,4.0834543250432694e-08
