,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
1595,CAF,2905.0,2.4108472740568627e-12,2.16993546430317e-12
1596,CAF,2907.0,2.6517699414663714e-14,2.0003324863989283e-14
1598,CAF,2913.0,1.1081079596850784e-14,9.456107326134378e-15
1599,CAF,2918.0,1.3898426299539655e-12,9.561748581852809e-13
1600,CAF,2919.0,1.1620224777109887e-13,7.99440637297343e-14
1602,CIV,960.0,2.7727665762232893e-08,2.399487917507828e-08
1603,CIV,976.0,1.685953821449945e-08,1.4261624817988742e-08
1604,CIV,1016.0,4.213068287794423e-08,3.5638698099937356e-08
1605,CIV,1049.0,2.3580950715734106e-09,1.9947324041773437e-09
1606,CIV,1052.0,1.57558052368305e-09,1.3327967832460004e-09
1607,CIV,1053.0,3.800627990592026e-09,3.2149831024407558e-09
1608,CIV,2514.0,2.9779090011912226e-11,2.6803316911397407e-11
1609,CIV,2555.0,7.245354706344364e-10,6.182867934508505e-10
1610,CIV,2731.0,1.4885591067113753e-08,1.2591846365673654e-08
1611,CIV,2735.0,0.0,0.0
1612,CIV,2805.0,1.0832162844345635e-10,9.749723495134306e-11
1613,CIV,2903.0,1.0407151908284985e-12,8.881006994309043e-13
1614,CIV,2905.0,8.635408051065018e-12,7.772486619280196e-12
1615,CIV,2907.0,1.3592838286912692e-13,1.0253602917243652e-13
1617,CIV,2913.0,6.611039664554787e-13,5.641571298082546e-13
1618,CIV,2918.0,4.9536782947814495e-11,3.4079992503647995e-11
1619,CIV,2919.0,3.584245592589309e-12,2.4658658810233898e-12
1621,CMR,960.0,5.31037679479544e-09,4.595476974438069e-09
1622,CMR,976.0,1.1829177262424765e-08,1.0006400286639988e-08
1623,CMR,1016.0,1.7246118550844143e-08,1.4588636367701203e-08
1624,CMR,1049.0,2.933777298161324e-09,2.481706829308416e-09
1625,CMR,1052.0,3.345423611070047e-09,2.82992189888628e-09
1626,CMR,1053.0,2.4696893621362986e-09,2.0891309507798126e-09
1627,CMR,2511.0,1.3114398691505827e-09,1.1803899450595549e-09
1628,CMR,2514.0,3.0347093942134205e-11,2.7314561188592204e-11
1629,CMR,2555.0,4.003881421601846e-11,3.416736800134762e-11
1630,CMR,2731.0,2.310774918498169e-08,1.9547038897006837e-08
1631,CMR,2735.0,2.6371731502595665e-10,2.2308068922510534e-10
1632,CMR,2805.0,4.748997741577614e-10,4.2744385885565094e-10
1633,CMR,2903.0,3.039445046650626e-12,2.5937290966833276e-12
1634,CMR,2905.0,2.4365096225961868e-12,2.1930334186165854e-12
1635,CMR,2907.0,2.5103187485839713e-13,1.8936303883254886e-13
1637,CMR,2913.0,3.181277033309606e-13,2.714762293530621e-13
