,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
68,IND,2735.0,1.9764779307520982e-07,1.7658984525571188e-07,3.830814028480453e-06,3.422668404070443e-06,0.0002727539503794389,0.0002436939828215591,1.3819671144948781e-07,1.234728478876916e-07,7.27351141794378e-10,6.498571199687463e-10,5.922716415109833e-07,5.291693668644825e-07,4.145901508227954e-08,3.7041855838218536e-08
69,IND,2805.0,4.994752421103048e-10,4.474592761419496e-10,2.5359051155935095e-08,2.2718128381977882e-08,2.2601254368706359e-07,2.0247531943711483e-07,1.5587072659196305e-07,1.3963815743475182e-07,inf,inf,inf,inf,2.009000418265893e-08,1.7997806440376202e-08
70,IND,2903.0,1.1262478047929885e-10,9.61541461101284e-11,1.996742766994071e-09,1.7047322529270535e-09,4.643159910150873e-09,3.964128271889504e-09,1.2857637652928247e-08,1.0977292601586855e-08,1.0466289086991232e-08,8.935663055843875e-09,inf,inf,1.0270249950809244e-10,8.768293355645339e-11
71,IND,2905.0,1.2600047123185035e-10,1.1287862720230133e-10,4.130452229832912e-09,3.7003018549851867e-09,1.4389799003830224e-08,1.2891227638986871e-08,2.5745163129201806e-08,2.3064030179507828e-08,5.424829476238355e-07,4.859881063123961e-07,inf,inf,7.582632220645872e-10,6.792967576061615e-10
72,IND,2907.0,5.717818836772029e-11,4.36877430924935e-11,2.5916794696308858e-09,1.9802066151372583e-09,6.8811254696521495e-09,5.257613965871837e-09,1.6533284672890237e-08,1.2632472519399751e-08,3.519830322021021e-10,2.6893724202782755e-10,inf,inf,3.0547696734436297e-10,2.3340367456533057e-10
73,IND,2908.0,5.3817881174669383e-11,4.5947369555653446e-11,1.704232941957105e-07,1.4550000684508117e-07,2.8803937273858885e-08,2.4591550646233436e-08,6.81693176782842e-07,5.820000273803247e-07,inf,inf,inf,inf,2.0450794846374365e-08,1.746000043114831e-08
74,IND,2913.0,1.0087129087553461e-10,8.611952715811233e-11,4.6274951455192186e-09,3.950754376191215e-09,1.7794283654719872e-08,1.5191986551978192e-08,2.6030644402973786e-08,2.2223833641339672e-08,1.0459184542576823e-06,8.929597504383871e-07,inf,inf,5.184021128237088e-10,4.4258920894777923e-10
75,IND,2918.0,2.0071267749899995e-10,1.3946211938680006e-10,4.434553228480542e-09,3.0812811601327705e-09,1.427001725859605e-08,9.915302189020602e-09,2.2050736263251006e-08,1.532161521450321e-08,2.5143512410634866e-10,1.7470583190406202e-10,inf,inf,1.744580801669125e-10,1.212195159139916e-10
76,IND,2919.0,1.128239346321052e-10,7.839397708911328e-11,8.46103653034312e-09,5.879021203016278e-09,2.791589213349789e-08,1.9396928634616584e-08,7.432275084935852e-08,5.164202122788323e-08,4.743861661976728e-10,3.2961993716633005e-10,inf,inf,3.8267670608838437e-10,2.6589702820994743e-10
77,IND,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,IRN,946.0,5.007857945301585e-09,4.474306775016113e-09,9.564380905333131e-08,8.545365054477327e-08,2.0295219054665148e-06,1.8132909740764578e-06,1.361312048946235e-06,1.2162740616925379e-06,9.982784292265998e-09,8.919190576145686e-09,1.0475630886497375e-06,9.359527917919119e-07,7.897879768133796e-08,7.056417602256014e-08
79,IRN,960.0,1.5523613592206489e-09,1.3795467564634287e-09,3.0061600014464126e-08,2.6715031617944507e-08,3.1564681676345475e-06,2.8050784675073613e-06,2.559298424110567e-07,2.274387866479906e-07,2.0585661502708606e-09,1.829398959658025e-09,2.104312120466558e-07,1.8700523194121162e-07,1.8938808582491915e-08,1.683047042885383e-08
80,IRN,976.0,1.0070480659967563e-08,8.997543527934095e-09,1.514333821190111e-07,1.3529924669975662e-07,1.3332896103010584e-06,1.1912372119152353e-06,8.8533205514576e-07,7.910063056389388e-07,2.5243344356532408e-09,2.255384795498544e-09,1.8534086831322695e-07,1.6559413462581754e-07,5.5538045536574946e-08,4.962086707123754e-08
81,IRN,1016.0,1.520584993568127e-08,1.358577622013593e-08,1.6549884807050723e-07,1.4786613862998441e-07,1.4903411484141406e-06,1.3315560405803619e-06,1.2589616317976687e-06,1.1248283438076677e-06,inf,inf,3.787020077591823e-06,3.3835403830071536e-06,9.93710232341624e-07,8.87837569182727e-07
82,IRN,1049.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
83,IRN,1052.0,1.1674121072796636e-09,1.0430327612902514e-09,1.3291395363351945e-08,1.1875292984190662e-08,9.539424648056678e-08,8.523067706543198e-08,1.2941080331598624e-07,1.156230149419953e-07,1.0433745708811992e-09,9.322105304031622e-10,1.8757295957780288e-07,1.6758841265379484e-07,3.5519134327870616e-09,3.173482656691616e-09
84,IRN,1053.0,1.859109378246339e-09,1.6610346733952029e-09,1.528401607186006e-08,1.3655614317881838e-08,3.221884990392679e-07,2.878616366177405e-07,1.8139948816411575e-07,1.6207268012437191e-07,2.1524092551896817e-06,1.9230855623886126e-06,4.746052089664533e-07,4.2403944463497684e-07,2.528012325133158e-07,2.2586708323625075e-07
